id,title,description,type,release_year,genres,production_countries,Netflix Link,TMDb Trailer,runtime,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,type_netflix
tm244332,Beirut,"In 1980s Beirut, Mason Skiles is a former U.S. diplomat who is called back into service to save a colleague from the group that is possibly responsible for his own family's death. Meanwhile, a CIA field agent who is working under cover at the American embassy is tasked with keeping Mason alive and ensuring that the mission is a success.",MOVIE,2018,"thriller, action, crime, drama",US,https://www.netflix.com/watch/80195367,https://www.youtube.com/watch?v=SagsqxiVStM,109,6.4,21843.0,10.945,6.3,0
tm315340,The Night Comes for Us,"After sparing a girl's life during a massacre, an elite Triad assassin is targeted by an onslaught of murderous gangsters.",MOVIE,2018,"thriller, action",ID,https://www.netflix.com/watch/80148162,https://www.youtube.com/watch?v=HfSisHrUTLM,121,6.9,25500.0,12.473,6.8,0
ts42294,13 Reasons Why,"After a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice.",SHOW,2017,"drama, thriller",US,https://www.netflix.com/watch/80117470,https://www.youtube.com/watch?v=QkT-HIMSrRk,58,7.5,282373.0,80.574,7.748,1
ts84010,Pine Gap,A team of talented Australian and American intelligence analysts work together to ensure global stability in one of the world's most important and secretive joint intelligence facilities... Pine Gap. But the relationship between the Australian and American intelligence analysts working at Pine Gap isn’t always rosy.,SHOW,2018,"drama, thriller",AU,https://www.netflix.com/watch/80195198,https://www.youtube.com/watch?v=4IKxTJRZiek,56,7.2,4772.0,10.479,7.3,1
tm414887,Destination Wedding,"Frank and Lindsay—two emotionally-broken strangers—meet on the way to a destination wedding. Over the course of the weekend and against all odds, they find themselves drawn together even though they are initially repulsed by one another.",MOVIE,2018,"romance, comedy, drama",US,https://www.netflix.com/watch/81004269,https://www.youtube.com/watch?v=_jrhye68b3M,84,6.0,28933.0,19.069,5.7,0
ts80035,Nightflyers,"In the year 2093, a team of scientists aboard the Nightflyer, the most advanced ship ever built, embarks on a journey to find other life forms. Their mission takes them to the edge of the solar system, and to the edge of insanity, as they realize true horror isn't waiting for them in outer space—it's already on their ship.",SHOW,2018,"scifi, thriller, drama, horror",US,https://www.netflix.com/watch/80202133,https://www.youtube.com/watch?v=JUFsJxCh4Bw,44,5.8,13103.0,10.291,5.6,1
tm420348,Cam,A young camgirl discovers that she’s inexplicably been replaced on her site with an exact replica of herself.,MOVIE,2018,"horror, thriller, drama",US,https://www.netflix.com/watch/80177400,https://www.youtube.com/watch?v=pN8xZ5WDonk,95,5.9,31042.0,12.204,5.8,0
ts57055,Black Lightning,"Jefferson Pierce is a man wrestling with a secret. As the father of two daughters and principal of a charter high school that also serves as a safe haven for young people in a New Orleans neighborhood overrun by gang violence, he is a hero to his community.",SHOW,2018,"scifi, action, drama",US,https://www.netflix.com/watch/80178687,https://www.youtube.com/watch?v=3LAUGA01mUc,42,6.1,24646.0,45.271,7.2,1
tm244206,The Meyerowitz Stories (New and Selected),An estranged family gathers together in New York for an event celebrating the artistic work of their father.,MOVIE,2017,"drama, comedy",US,https://www.netflix.com/watch/80174434,https://www.youtube.com/watch?v=MYzFieit8dI,112,6.9,47971.0,12.045,6.5,0
tm434202,Malevolent,"A brother-sister team who fake paranormal encounters for cash get more than they bargained for when a job at a haunted estate turns very, very real.",MOVIE,2018,"horror, thriller",GB,https://www.netflix.com/watch/80242081,https://www.youtube.com/watch?v=kJ3tMPVvE6w,89,4.8,13290.0,8.289,5.0,0
tm280828,The Babysitter,"When Cole stays up past his bedtime, he discovers that his hot babysitter is part of a Satanic cult that will stop at nothing to keep him quiet.",MOVIE,2017,"horror, comedy",US,https://www.netflix.com/watch/80164456,https://www.youtube.com/watch?v=CQTEUd-5JMQ,85,6.4,86953.0,52.287,6.102,0
tm366567,When We First Met,"Noah spends the perfect first night with the girl of his dreams Avery but gets relegated to the friend zone. He spends the next three years wondering what went wrong - until he gets the unexpected chance to travel back in time and alter that night, and his fate, over and over again.",MOVIE,2018,"fantasy, comedy, romance",US,https://www.netflix.com/watch/80117531,https://www.youtube.com/watch?v=d2sJNee7FQ4,97,6.4,48215.0,15.879,6.6,0
tm307283,Cargo,"After being infected in the wake of a violent pandemic and with only 48 hours to live, a father struggles to find a new home for his baby daughter.",MOVIE,2017,"drama, thriller, horror, scifi",AU,https://www.netflix.com/watch/81297470,https://www.youtube.com/watch?v=u5qZOqrPr_A,105,6.3,42722.0,18.142,6.4,0
ts82597,The Dragon Prince,An extraordinary discovery inspires two human princes and an elven assassin to team up on an epic quest to bring peace to their warring lands.,SHOW,2018,"scifi, animation, action, drama, family, fantasy, thriller",US,https://www.netflix.com/watch/80212245,https://www.youtube.com/watch?v=PWEtCsi3Eo8,27,8.4,21635.0,31.275,8.3,1
ts55962,Dear White People,"At a predominantly white Ivy League college, a diverse group of students navigate various forms of racial and other types of discrimination.",SHOW,2017,"comedy, drama",US,https://www.netflix.com/watch/80095698,https://www.youtube.com/watch?v=JMgWMzbM2Pk,29,6.1,24863.0,16.376,6.4,1
tm244229,Everybody Knows,"Laura, a Spanish woman living in Buenos Aires, returns to her hometown outside Madrid with her Argentinian husband and children. However, the trip is upset by unexpected events that bring secrets into the open.",MOVIE,2018,"drama, crime, thriller, european","IT, ES, FR",https://www.netflix.com/watch/80996787,https://www.youtube.com/watch?v=L68mUxKuAnA,132,6.9,34009.0,11.374,6.5,0
ts75263,Wormwood,"In this genre-bending tale, Errol Morris explores the mysterious death of a U.S. scientist entangled in a secret Cold War program known as MK-Ultra.",SHOW,2017,"crime, drama, documentation, fantasy",US,https://www.netflix.com/watch/80059446,https://www.youtube.com/watch?v=b01DL8DTUGM,43,7.0,4181.0,1.898,6.2,1
ts85568,Perfume,"When a singer is found murdered, with her scent glands excised from her body, detectives probe a group of friends who attended boarding school with her.",SHOW,2018,"crime, thriller, drama, documentation, comedy, romance",DE,https://www.netflix.com/watch/80200596,https://www.youtube.com/watch?v=_-qv0EnGhJU,29,7.1,8536.0,17.902,6.9,1
ts80705,Evil Genius,This baffling true crime story starts with the grisly death of a pizza man who robs a bank with a bomb around his neck - and gets weirder from there.,SHOW,2018,"crime, documentation",US,https://www.netflix.com/watch/80158319,https://www.youtube.com/watch?v=Qpdb9zo_1t8,48,7.5,27516.0,9.635,7.5,1
tm300615,Mudbound,"In the post–World War II South, two families are pitted against a barbaric social hierarchy and an unrelenting landscape as they simultaneously fight the battle at home and the battle abroad.",MOVIE,2017,"drama, war",US,https://www.netflix.com/watch/80175694,https://www.youtube.com/watch?v=vAZWhFI9lLQ,120,7.4,47676.0,9.749,7.4,0
tm244233,The Book of Henry,"Susan, a single mother of two, works as a waitress in a small town. Her son, Henry, is an 11-year-old genius who not only manages the family finances but acts as emotional support for his mother and younger brother. When Henry discovers that the girl next door has a terrible secret, he implores Susan to take matters into her own hands.",MOVIE,2017,"thriller, crime, drama",US,https://www.netflix.com/watch/80095206,https://www.youtube.com/watch?v=Nd60i3ZnLOE,105,6.5,27052.0,17.456,7.5,0
ts81344,Explained,"This documentary series, made in partnership with Vox, explain some of the world's current trends, from politics, to science to pop culture.",SHOW,2018,documentation,US,https://www.netflix.com/watch/80216752,https://www.youtube.com/watch?v=dM0krSvAQuw,21,8.0,8831.0,11.637,7.7,1
ts82228,Cells at Work!,"This is a story about you. A tale about the inside of your body... According to a new study, the human body consists of approximately 37 trillion cells. These cells are hard at work every day within a world that is your body. From the oxygen-carrying red blood cells to the bacteria-fighting white blood cells, get to know the unsung heroes and the drama that unfolds inside of you! It's the oddly relatable and interesting story that is the life of cells!",SHOW,2018,"action, fantasy, animation, comedy",JP,https://www.netflix.com/watch/81028791,https://www.youtube.com/watch?v=HMXWvvjAJek,23,7.5,2206.0,16.706,8.3,1
ts81331,She-Ra and the Princesses of Power,"In this reboot of the '80s series, a magic sword transforms an orphan girl into warrior She-Ra, who unites a rebellion to fight against evil.",SHOW,2018,"scifi, action, family, animation, fantasy, comedy, drama",US,https://www.netflix.com/watch/80179762,https://www.youtube.com/watch?v=GsGMkAWB6lY,24,7.8,14935.0,26.73,8.8,1
